date,negative_economic_words
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,23
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,9
2020-01-25,6
2020-01-26,5
2020-01-27,0
2020-01-28,9
2020-01-29,0
2020-01-30,15
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,14
2020-02-05,12
2020-02-06,12
2020-02-07,10
2020-02-08,11
2020-02-09,14
2020-02-10,18
2020-02-11,20
2020-02-12,11
2020-02-13,24
2020-02-14,10
2020-02-15,8
2020-02-16,7
2020-02-17,20
2020-02-18,12
2020-02-19,29
2020-02-20,19
2020-02-21,33
2020-02-22,14
2020-02-23,6
2020-02-24,19
2020-02-25,41
2020-02-26,44
2020-02-27,56
2020-02-28,63
2020-02-29,30
2020-03-01,24
2020-03-02,44
2020-03-03,45
2020-03-04,60
2020-03-05,59
2020-03-06,40
2020-03-07,38
2020-03-08,14
2020-03-09,34
2020-03-10,30
2020-03-11,67
2020-03-12,119
2020-03-13,85
2020-03-14,67
2020-03-15,65
2020-03-16,93
2020-03-17,104
2020-03-18,132
2020-03-19,148
2020-03-20,120
2020-03-21,112
2020-03-22,121
2020-03-23,168
2020-03-24,194
2020-03-25,194
2020-03-26,175
2020-03-27,164
2020-03-28,118
2020-03-29,72
2020-03-30,148
2020-03-31,125
2020-04-01,154
2020-04-02,72
2020-04-03,75
2020-04-04,57
2020-04-05,54
2020-04-06,127
2020-04-07,122
2020-04-08,110
2020-04-09,143
2020-04-10,153
2020-04-11,118
2020-04-12,88
2020-04-13,102
2020-04-14,122
2020-04-15,109
2020-04-16,138
2020-04-17,92
2020-04-18,105
2020-04-19,61
2020-04-20,100
2020-04-21,93
2020-04-22,91
2020-04-23,93
2020-04-24,115
2020-04-25,75
2020-04-26,69
2020-04-27,80
2020-04-28,59
2020-04-29,87
2020-04-30,69
2020-05-01,74
2020-05-02,59
2020-05-03,50
2020-05-04,75
2020-05-05,82
2020-05-06,73
2020-05-07,68
2020-05-08,62
2020-05-09,57
2020-05-10,47
2020-05-11,73
2020-05-12,56
2020-05-13,56
2020-05-14,57
2020-05-15,25
2020-05-16,54
2020-05-17,29
2020-05-18,53
2020-05-19,30
2020-05-20,45
2020-05-21,36
2020-05-22,18
2020-05-23,44
2020-05-24,22
2020-05-25,44
2020-05-26,57
2020-05-27,37
2020-05-28,32
2020-05-29,40
2020-05-30,38
2020-05-31,28
2020-06-01,36
2020-06-02,20
2020-06-03,20
2020-06-04,25
2020-06-05,21
2020-06-06,23
2020-06-07,17
2020-06-08,29
2020-06-09,24
2020-06-10,24
2020-06-11,31
2020-06-12,34
2020-06-13,43
2020-06-14,26
2020-06-15,17
2020-06-16,27
2020-06-17,19
2020-06-18,0
2020-06-19,19
2020-06-20,26
2020-06-21,34
2020-06-22,20
2020-06-23,22
2020-06-24,17
2020-06-25,0
2020-06-26,17
2020-06-27,22
2020-06-28,7
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,16
2020-07-03,19
2020-07-04,13
2020-07-05,30
2020-07-06,23
2020-07-07,19
2020-07-08,0
2020-07-09,17
2020-07-10,12
2020-07-11,17
2020-07-12,24
2020-07-13,21
2020-07-14,19
2020-07-15,18
2020-07-16,18
2020-07-17,0
2020-07-18,26
2020-07-19,24
2020-07-20,22
2020-07-21,35
2020-07-22,16
2020-07-23,17
2020-07-24,19
2020-07-25,20
2020-07-26,12
2020-07-27,38
2020-07-28,20
2020-07-29,18
2020-07-30,18
2020-07-31,18
2020-08-01,14
2020-08-02,27
2020-08-03,17
2020-08-04,19
2020-08-05,16
2020-08-06,22
2020-08-07,0
2020-08-08,22
2020-08-09,23
2020-08-10,0
2020-08-11,25
2020-08-12,0
2020-08-13,0
2020-08-14,27
2020-08-15,14
2020-08-16,16
2020-08-17,16
2020-08-18,15
2020-08-19,0
2020-08-20,13
2020-08-21,0
2020-08-22,25
2020-08-23,13
2020-08-24,19
2020-08-25,18
2020-08-26,17
2020-08-27,16
2020-08-28,14
2020-08-29,29
2020-08-30,21
2020-08-31,0
2020-09-01,17
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,16
2020-09-06,11
2020-09-07,13
2020-09-08,0
2020-09-09,14
2020-09-10,0
2020-09-11,13
2020-09-12,16
2020-09-13,14
2020-09-14,17
2020-09-15,0
2020-09-16,0
2020-09-17,14
2020-09-18,0
2020-09-19,14
2020-09-20,16
2020-09-21,0
2020-09-22,17
2020-09-23,0
2020-09-24,18
2020-09-25,12
2020-09-26,15
2020-09-27,9
2020-09-28,15
2020-09-29,15
2020-09-30,0
2020-10-01,24
2020-10-02,41
2020-10-03,17
2020-10-04,10
2020-10-05,0
2020-10-06,16
2020-10-07,11
2020-10-08,11
2020-10-09,0
2020-10-10,7
2020-10-11,15
2020-10-12,24
2020-10-13,16
2020-10-14,0
2020-10-15,20
2020-10-16,25
2020-10-17,14
2020-10-18,18
2020-10-19,0
2020-10-20,14
2020-10-21,10
2020-10-22,17
2020-10-23,24
2020-10-24,21
2020-10-25,9
2020-10-26,15
2020-10-27,12
2020-10-28,27
2020-10-29,0
2020-10-30,26
2020-10-31,11
